threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
29.6,29.6,742,75,190,1,476,0.357,0.136,0.995,0.565,0.189
0.329,0.329,742,548,13,178,3,0.756,0.995,0.068,0.531,0.188
29.7,29.7,742,74,190,1,477,0.356,0.134,0.995,0.565,0.187
29.8,29.8,742,73,190,1,478,0.354,0.132,0.995,0.564,0.186
31,31,742,72,190,1,479,0.353,0.131,0.995,0.563,0.184
32,32,742,70,190,1,481,0.35,0.127,0.995,0.561,0.181
0.275,0.275,742,548,12,179,3,0.755,0.995,0.063,0.529,0.178
33,33,742,66,190,1,485,0.345,0.12,0.995,0.557,0.175
34,34,742,58,191,0,493,0.336,0.105,1,0.553,0.171
0.274,0.274,742,548,10,181,3,0.752,0.995,0.052,0.523,0.156
35,35,742,45,191,0,506,0.318,0.082,1,0.541,0.15
0.091,0.091,742,550,7,184,1,0.751,0.998,0.037,0.517,0.147
0.18,0.18,742,549,8,183,2,0.751,0.996,0.042,0.519,0.145
0.243,0.243,742,548,9,182,3,0.751,0.995,0.047,0.521,0.144
0.04,0.04,742,551,5,186,0,0.749,1,0.026,0.513,0.14
0.072,0.072,742,550,6,185,1,0.749,0.998,0.031,0.515,0.134
0.204,0.204,742,548,8,183,3,0.749,0.995,0.042,0.518,0.132
0.154,0.154,742,549,7,184,2,0.749,0.996,0.037,0.517,0.132
0.038,0.038,742,551,4,187,0,0.748,1,0.021,0.51,0.125
0.062,0.062,742,550,5,186,1,0.748,0.998,0.026,0.512,0.119
36,36,742,27,191,0,524,0.294,0.049,1,0.525,0.114
